run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_pref_source_model,branch_pref_source_model,source_score_model,alpha_pref_readout,branch_pref_readout,readout_score,delta_alpha,branch_match_flag,alpha_match_flag,loss_total
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,1.7,1.66,S2,0.029055205064720147,1.58,S2,0.0022301602906277,0.07999999999999985,1,1,-0.935642682677674
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,2.2,1.73,S3,0.03954853539263592,1.58,S2,0.0022301602906277,0.1499999999999999,0,0,1.129110652158368
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,3.0,1.78,S3,0.005843327990294744,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1959632558595388
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,0.3,1.45,S1,0.033454075232220215,1.58,S2,0.0022301602906277,0.13000000000000012,0,0,1.112157882238576
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,0.5,1.45,S1,0.028260956348655553,1.58,S2,0.0022301602906277,0.13000000000000012,0,0,1.1147544416803585
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,0.8,1.51,,0.012087638473753048,1.58,S2,0.0022301602906277,0.07000000000000006,0,1,0.06284110061780956
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,1.0,1.57,S2,0.01479265528940521,1.58,S2,0.0022301602906277,0.010000000000000009,1,1,-0.9985114077900165
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,1.3,1.63,S2,0.017592048287633166,1.58,S2,0.0022301602906277,0.04999999999999982,1,1,-0.9599111042891306
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,1.7,1.66,S2,0.019650980230319193,1.58,S2,0.0022301602906277,0.07999999999999985,1,1,-0.9309405702604736
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,2.2,1.73,S3,0.040674437630264015,1.58,S2,0.0022301602906277,0.1499999999999999,0,0,1.128547701039554
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,3.0,1.78,S3,0.006233559694933,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1957681400072195
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,0.3,1.57,S2,0.019019438476119754,1.58,S2,0.0022301602906277,0.010000000000000009,1,1,-1.0006247993833737
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,0.5,1.57,S2,0.03207287208451548,1.58,S2,0.0022301602906277,0.010000000000000009,1,1,-1.0071515161875715
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,0.8,1.63,S2,0.01490641859243591,1.58,S2,0.0022301602906277,0.04999999999999982,1,1,-0.9585682894415319
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,1.0,1.66,S2,0.06507693935583425,1.58,S2,0.0022301602906277,0.07999999999999985,1,1,-0.9536535498232311
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,1.3,1.66,S2,0.020653690122068857,1.58,S2,0.0022301602906277,0.07999999999999985,1,1,-0.9314419252063484
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,1.7,1.73,S3,0.04997991068914498,1.58,S2,0.0022301602906277,0.1499999999999999,0,0,1.1238949645101135
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,2.2,1.73,S3,0.04343032295856397,1.58,S2,0.0022301602906277,0.1499999999999999,0,0,1.1271697583754041
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,3.0,1.78,S3,0.007374737755999283,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1951975509766863
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,0.3,1.66,S2,0.10556060341923557,1.58,S2,0.0022301602906277,0.07999999999999985,1,1,-0.9738953818549317
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,0.5,1.66,S2,0.0783793528896013,1.58,S2,0.0022301602906277,0.07999999999999985,1,1,-0.9603047565901146
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,0.8,1.73,S3,0.08914213354300682,1.58,S2,0.0022301602906277,0.1499999999999999,0,0,1.1043138530831826
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,1.0,1.78,S3,0.015927529648529615,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1909211550304213
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,1.3,1.78,S3,0.02004463086696373,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.188862604421204
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,1.7,1.78,S3,0.015324413760647748,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1912227129743622
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,2.2,1.78,S3,0.011497469578550912,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1931361850654105
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,3.0,1.78,S3,0.009180294616877527,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1942947725462472
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,0.3,1.73,S3,0.13354182640619505,1.58,S2,0.0022301602906277,0.1499999999999999,0,0,1.0821140066515884
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,0.5,1.78,S3,0.04077901765182157,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1784954110287753
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,0.8,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,1.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,1.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,1.7,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,2.2,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,3.0,1.78,S3,0.011513617834958634,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1931281109372067
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,0.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,0.5,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,0.8,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,1.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,1.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,1.7,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,2.2,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,3.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,0.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,0.5,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,0.8,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,1.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,1.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,1.7,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,2.2,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,3.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,0.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,0.5,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,0.8,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,1.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,1.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,1.7,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,2.2,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,3.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,0.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,0.5,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,0.8,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,1.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,1.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,1.7,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,2.2,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,3.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,0.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,0.5,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,0.8,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,1.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
