run_id,seed,parameter_profile,state,null_variant,baseline_anchor_status,combined_status_stability,auxiliary_compatibility,neighbor_shift_signal,a1_shift_signal,b1_shift_signal,gain_value,gain_vs_A,gain_vs_D,sign_stability,replicate_consistency,null_noise_margin,auxiliary_primary_takeover,role_flip,support_sep_baseline,support_sep_combined
H3SMD01_20260417_183547,303,mild_plus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_183547,303,mild_minus,A,,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_183547,303,mild_minus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_183547,303,mild_minus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_183547,303,mild_minus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_183547,404,base,A,,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_183547,404,base,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_183547,404,base,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_183547,404,base,D,permutation_null,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_183547,404,mild_plus,A,,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_183547,404,mild_plus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_183547,404,mild_plus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_183547,404,mild_plus,D,permutation_null,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_183547,404,mild_minus,A,,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_183547,404,mild_minus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_183547,404,mild_minus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_183547,404,mild_minus,D,permutation_null,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_183547,505,base,A,,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_183547,505,base,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_183547,505,base,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_183547,505,base,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_183547,505,mild_plus,A,,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_183547,505,mild_plus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_183547,505,mild_plus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_183547,505,mild_plus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_183547,505,mild_minus,A,,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_183547,505,mild_minus,B,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_183547,505,mild_minus,C,,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_183547,505,mild_minus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
