run_id,t,p_family,theta,alpha,kernel_mode,chi,rho_pos,rho_neg,lambda_max_pos,lambda_max_neg,lambda_max_abs,lambda2_abs,weighted_clustering_abs,natural_connectivity_abs,global_efficiency_abs,n_components_abs,finite_fraction,peak_flag_chi,peak_flag_lambda2,peak_flag_wclust
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,0.6,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,0.6,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,0.7,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,0.7,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,0.7,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,0.8,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,0.8,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,0.8,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,0.9,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,0.9,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,0.9,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.0,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.0,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.0,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.1,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.1,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.1,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.2,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.2,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.2,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.3,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.3,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.3,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.32,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.32,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.32,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.34,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.34,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.34,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.36,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.36,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.36,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.38,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.38,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.38,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.4,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.4,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.4,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.42,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.42,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.42,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.44,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.44,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.44,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.46,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.46,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.46,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.48,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.48,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.48,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.5,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.5,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.5,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.52,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.52,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.52,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.54,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.54,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.54,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.56,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.56,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.56,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.58,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.58,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.58,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.6,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.6,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.6,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.62,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.62,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.62,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.64,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.64,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.64,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.66,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,1.66,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,1.66,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,1.68,abs,-0.4051656643105983,0.6666666666666666,0.3333333333333333,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,4.864784485777236e-07,0.38439782022840163,1.0502709812953429e-13,1.6851034981085383e-07,1,1.0,0,0,0
