run_id,case_label_a,case_label_b,branch_a,branch_b,class_mode,top_k,class_overlap_count,class_overlap_fraction_a,class_overlap_fraction_b,weighted_class_overlap,case_weight_a,case_weight_b,class_overlap_weighted_by_case,relation_type
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=2.0__pf=P1__th=1e-09,S3,S2,delta_p,1,1,1.0,1.0,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=2.0__pf=P1__th=1e-09,S3,S2,delta_p,3,2,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=2.0__pf=P1__th=1e-09,S3,S2,delta_p,5,4,0.8,0.8,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=2.0__pf=P1__th=3e-09,S3,S2,delta_p,1,1,1.0,1.0,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=2.0__pf=P1__th=3e-09,S3,S2,delta_p,3,2,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=2.0__pf=P1__th=3e-09,S3,S2,delta_p,5,4,0.8,0.8,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=20.0__pf=P2__th=1e-08,S3,S1,delta_p,1,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=20.0__pf=P2__th=1e-08,S3,S1,delta_p,3,1,0.3333333333333333,0.3333333333333333,0.18278594261947134,0.3333333333333333,1.0,0.06092864753982378,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=20.0__pf=P2__th=1e-08,S3,S1,delta_p,5,3,0.6,0.6,0.18278594261947134,0.3333333333333333,1.0,0.06092864753982378,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=40.0__pf=P2__th=1e-09,S3,S1,delta_p,1,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=40.0__pf=P2__th=1e-09,S3,S1,delta_p,3,2,0.6666666666666666,0.6666666666666666,0.0818942919623316,0.3333333333333333,1.0,0.027298097320777197,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=40.0__pf=P2__th=1e-09,S3,S1,delta_p,5,4,0.8,0.8,0.0818942919623316,0.3333333333333333,1.0,0.027298097320777197,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S3,S2,delta_p,1,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S3,S2,delta_p,3,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=40.0__pf=P3__th=1e-09,S3,S2,delta_p,5,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S3,S1,delta_p,1,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S3,S1,delta_p,3,2,0.6666666666666666,0.6666666666666666,0.0009496920812516661,0.3333333333333333,1.0,0.0003165640270838887,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,t=5.0__pf=P0__th=1e-09,S3,S1,delta_p,5,4,0.8,0.8,0.0009496920812516661,0.3333333333333333,1.0,0.0003165640270838887,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=2.0__pf=P1__th=1e-09,S3,S2,delta_p,1,1,1.0,1.0,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=2.0__pf=P1__th=1e-09,S3,S2,delta_p,3,2,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=2.0__pf=P1__th=1e-09,S3,S2,delta_p,5,4,0.8,0.8,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=2.0__pf=P1__th=3e-09,S3,S2,delta_p,1,1,1.0,1.0,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=2.0__pf=P1__th=3e-09,S3,S2,delta_p,3,2,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=2.0__pf=P1__th=3e-09,S3,S2,delta_p,5,4,0.8,0.8,1.0,0.3333333333333333,0.5,0.16666666666666666,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=20.0__pf=P2__th=1e-08,S3,S1,delta_p,1,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=20.0__pf=P2__th=1e-08,S3,S1,delta_p,3,1,0.3333333333333333,0.3333333333333333,0.18278594261947134,0.3333333333333333,1.0,0.06092864753982378,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=20.0__pf=P2__th=1e-08,S3,S1,delta_p,5,3,0.6,0.6,0.18278594261947134,0.3333333333333333,1.0,0.06092864753982378,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=40.0__pf=P2__th=1e-09,S3,S1,delta_p,1,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=40.0__pf=P2__th=1e-09,S3,S1,delta_p,3,2,0.6666666666666666,0.6666666666666666,0.0818942919623316,0.3333333333333333,1.0,0.027298097320777197,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=40.0__pf=P2__th=1e-09,S3,S1,delta_p,5,4,0.8,0.8,0.0818942919623316,0.3333333333333333,1.0,0.027298097320777197,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=40.0__pf=P3__th=1e-09,S3,S2,delta_p,1,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=40.0__pf=P3__th=1e-09,S3,S2,delta_p,3,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=40.0__pf=P3__th=1e-09,S3,S2,delta_p,5,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=5.0__pf=P0__th=1e-09,S3,S1,delta_p,1,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=5.0__pf=P0__th=1e-09,S3,S1,delta_p,3,2,0.6666666666666666,0.6666666666666666,0.0009496920812516661,0.3333333333333333,1.0,0.0003165640270838887,between_branch
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,t=5.0__pf=P0__th=1e-09,S3,S1,delta_p,5,4,0.8,0.8,0.0009496920812516661,0.3333333333333333,1.0,0.0003165640270838887,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=2.0__pf=P1__th=3e-09,S2,S2,delta_p,1,1,1.0,1.0,1.0,0.5,0.5,0.25,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=2.0__pf=P1__th=3e-09,S2,S2,delta_p,3,3,1.0,1.0,1.0,0.5,0.5,0.25,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=2.0__pf=P1__th=3e-09,S2,S2,delta_p,5,5,1.0,1.0,1.0,0.5,0.5,0.25,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=20.0__pf=P2__th=1e-08,S2,S1,delta_p,1,0,0.0,0.0,0.0,0.5,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=20.0__pf=P2__th=1e-08,S2,S1,delta_p,3,2,0.6666666666666666,0.6666666666666666,0.18278594261947134,0.5,1.0,0.09139297130973567,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=20.0__pf=P2__th=1e-08,S2,S1,delta_p,5,4,0.8,0.8,0.18278594261947134,0.5,1.0,0.09139297130973567,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P2__th=1e-09,S2,S1,delta_p,1,0,0.0,0.0,0.0,0.5,1.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P2__th=1e-09,S2,S1,delta_p,3,2,0.6666666666666666,0.6666666666666666,0.0818942919623316,0.5,1.0,0.0409471459811658,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P2__th=1e-09,S2,S1,delta_p,5,4,0.8,0.8,0.0818942919623316,0.5,1.0,0.0409471459811658,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,delta_p,1,0,0.0,0.0,0.0,0.5,1.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,delta_p,3,0,0.0,0.0,0.0,0.5,1.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,delta_p,5,1,0.2,0.2,9.104542707154581e-128,0.5,1.0,4.5522713535772905e-128,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p,1,0,0.0,0.0,0.0,0.5,1.0,0.0,between_branch
