run_id,case_label,branch_label,mode,t,p_family,theta,source_feature,best_p0,sigma_p_base,sigma_factor,sigma_p_test,best_alpha_source,diversity_group,group_weight
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,2.0,P1,1e-09,neg,3.5,0.3,1.5,0.44999999999999996,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,40.0,P3,1e-09,neg,-2.0,0.5,1.5,0.75,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,pruned,10.0,P2,1e-08,neg,-4.0,0.3,1.5,0.44999999999999996,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,20.0,P2,1e-08,abs,4.0,1.0,2.0,2.0,1.42,S1|20.0|P2|abs,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,40.0,P2,1e-09,neg,-1.5,0.8,2.0,1.6,1.42,S1|40.0|P2|neg,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,5.0,P0,1e-09,neg,-1.0,0.3,2.0,0.6,1.3,S1|5.0|P0|neg,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,2.0,P1,1e-09,neg,3.5,0.3,2.0,0.6,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,40.0,P3,1e-09,neg,-2.0,0.5,2.0,1.0,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,pruned,10.0,P2,1e-08,neg,-4.0,0.3,2.0,0.6,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,20.0,P2,1e-08,abs,4.0,1.0,3.0,3.0,1.42,S1|20.0|P2|abs,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,40.0,P2,1e-09,neg,-1.5,0.8,3.0,2.4000000000000004,1.42,S1|40.0|P2|neg,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,5.0,P0,1e-09,neg,-1.0,0.3,3.0,0.8999999999999999,1.3,S1|5.0|P0|neg,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,2.0,P1,1e-09,neg,3.5,0.3,3.0,0.8999999999999999,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,40.0,P3,1e-09,neg,-2.0,0.5,3.0,1.5,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,pruned,10.0,P2,1e-08,neg,-4.0,0.3,3.0,0.8999999999999999,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,weighted,20.0,P2,1e-08,abs,4.0,1.0,0.5,0.5,1.42,S1|20.0|P2|abs,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,weighted,40.0,P2,1e-09,neg,-1.5,0.8,0.5,0.4,1.42,S1|40.0|P2|neg,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,weighted,5.0,P0,1e-09,neg,-1.0,0.3,0.5,0.15,1.3,S1|5.0|P0|neg,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,weighted,2.0,P1,1e-09,neg,3.5,0.3,0.5,0.15,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=3e-09,S2,weighted,2.0,P1,3e-09,neg,3.5,0.3,0.5,0.15,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,weighted,40.0,P3,1e-09,neg,-2.0,0.5,0.5,0.25,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,weighted,10.0,P2,1e-08,neg,-4.0,0.3,0.5,0.15,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,S3,weighted,10.0,P2,1e-09,neg,-4.0,0.3,0.5,0.15,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,S3,weighted,10.0,P2,3e-09,neg,-4.0,0.3,0.5,0.15,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,weighted,20.0,P2,1e-08,abs,4.0,1.0,0.75,0.75,1.42,S1|20.0|P2|abs,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,weighted,40.0,P2,1e-09,neg,-1.5,0.8,0.75,0.6000000000000001,1.42,S1|40.0|P2|neg,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,weighted,5.0,P0,1e-09,neg,-1.0,0.3,0.75,0.22499999999999998,1.3,S1|5.0|P0|neg,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,weighted,2.0,P1,1e-09,neg,3.5,0.3,0.75,0.22499999999999998,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=3e-09,S2,weighted,2.0,P1,3e-09,neg,3.5,0.3,0.75,0.22499999999999998,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,weighted,40.0,P3,1e-09,neg,-2.0,0.5,0.75,0.375,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,weighted,10.0,P2,1e-08,neg,-4.0,0.3,0.75,0.22499999999999998,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,S3,weighted,10.0,P2,1e-09,neg,-4.0,0.3,0.75,0.22499999999999998,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,S3,weighted,10.0,P2,3e-09,neg,-4.0,0.3,0.75,0.22499999999999998,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,weighted,20.0,P2,1e-08,abs,4.0,1.0,1.0,1.0,1.42,S1|20.0|P2|abs,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,weighted,40.0,P2,1e-09,neg,-1.5,0.8,1.0,0.8,1.42,S1|40.0|P2|neg,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,weighted,5.0,P0,1e-09,neg,-1.0,0.3,1.0,0.3,1.3,S1|5.0|P0|neg,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,weighted,2.0,P1,1e-09,neg,3.5,0.3,1.0,0.3,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=3e-09,S2,weighted,2.0,P1,3e-09,neg,3.5,0.3,1.0,0.3,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,weighted,40.0,P3,1e-09,neg,-2.0,0.5,1.0,0.5,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,weighted,10.0,P2,1e-08,neg,-4.0,0.3,1.0,0.3,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,S3,weighted,10.0,P2,1e-09,neg,-4.0,0.3,1.0,0.3,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,S3,weighted,10.0,P2,3e-09,neg,-4.0,0.3,1.0,0.3,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,weighted,20.0,P2,1e-08,abs,4.0,1.0,1.25,1.25,1.42,S1|20.0|P2|abs,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,weighted,40.0,P2,1e-09,neg,-1.5,0.8,1.25,1.0,1.42,S1|40.0|P2|neg,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,weighted,5.0,P0,1e-09,neg,-1.0,0.3,1.25,0.375,1.3,S1|5.0|P0|neg,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,weighted,2.0,P1,1e-09,neg,3.5,0.3,1.25,0.375,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=3e-09,S2,weighted,2.0,P1,3e-09,neg,3.5,0.3,1.25,0.375,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,weighted,40.0,P3,1e-09,neg,-2.0,0.5,1.25,0.625,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,weighted,10.0,P2,1e-08,neg,-4.0,0.3,1.25,0.375,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,S3,weighted,10.0,P2,1e-09,neg,-4.0,0.3,1.25,0.375,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,S3,weighted,10.0,P2,3e-09,neg,-4.0,0.3,1.25,0.375,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,weighted,20.0,P2,1e-08,abs,4.0,1.0,1.5,1.5,1.42,S1|20.0|P2|abs,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,weighted,40.0,P2,1e-09,neg,-1.5,0.8,1.5,1.2000000000000002,1.42,S1|40.0|P2|neg,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,weighted,5.0,P0,1e-09,neg,-1.0,0.3,1.5,0.44999999999999996,1.3,S1|5.0|P0|neg,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,weighted,2.0,P1,1e-09,neg,3.5,0.3,1.5,0.44999999999999996,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=3e-09,S2,weighted,2.0,P1,3e-09,neg,3.5,0.3,1.5,0.44999999999999996,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,weighted,40.0,P3,1e-09,neg,-2.0,0.5,1.5,0.75,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,weighted,10.0,P2,1e-08,neg,-4.0,0.3,1.5,0.44999999999999996,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,S3,weighted,10.0,P2,1e-09,neg,-4.0,0.3,1.5,0.44999999999999996,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,S3,weighted,10.0,P2,3e-09,neg,-4.0,0.3,1.5,0.44999999999999996,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,weighted,20.0,P2,1e-08,abs,4.0,1.0,2.0,2.0,1.42,S1|20.0|P2|abs,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,weighted,40.0,P2,1e-09,neg,-1.5,0.8,2.0,1.6,1.42,S1|40.0|P2|neg,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,weighted,5.0,P0,1e-09,neg,-1.0,0.3,2.0,0.6,1.3,S1|5.0|P0|neg,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,weighted,2.0,P1,1e-09,neg,3.5,0.3,2.0,0.6,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=3e-09,S2,weighted,2.0,P1,3e-09,neg,3.5,0.3,2.0,0.6,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,weighted,40.0,P3,1e-09,neg,-2.0,0.5,2.0,1.0,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,weighted,10.0,P2,1e-08,neg,-4.0,0.3,2.0,0.6,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,S3,weighted,10.0,P2,1e-09,neg,-4.0,0.3,2.0,0.6,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,S3,weighted,10.0,P2,3e-09,neg,-4.0,0.3,2.0,0.6,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,weighted,20.0,P2,1e-08,abs,4.0,1.0,3.0,3.0,1.42,S1|20.0|P2|abs,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,weighted,40.0,P2,1e-09,neg,-1.5,0.8,3.0,2.4000000000000004,1.42,S1|40.0|P2|neg,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,weighted,5.0,P0,1e-09,neg,-1.0,0.3,3.0,0.8999999999999999,1.3,S1|5.0|P0|neg,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,weighted,2.0,P1,1e-09,neg,3.5,0.3,3.0,0.8999999999999999,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=3e-09,S2,weighted,2.0,P1,3e-09,neg,3.5,0.3,3.0,0.8999999999999999,1.58,S2|2.0|P1|neg,0.5
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,weighted,40.0,P3,1e-09,neg,-2.0,0.5,3.0,1.5,1.58,S2|40.0|P3|neg,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,weighted,10.0,P2,1e-08,neg,-4.0,0.3,3.0,0.8999999999999999,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,S3,weighted,10.0,P2,1e-09,neg,-4.0,0.3,3.0,0.8999999999999999,1.78,S3|10.0|P2|neg,0.3333333333333333
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,S3,weighted,10.0,P2,3e-09,neg,-4.0,0.3,3.0,0.8999999999999999,1.78,S3|10.0|P2|neg,0.3333333333333333
