ceiling,neighbor_min,focal_unit_id,support_sector,support_value,neighbor_count,neighbors,a1_status,a1_score,a1_agreement,a1_conflict,a1_anti_overlap,a1_anti_stabilization
0.99,4,p0_1,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
0.99,4,p0_3,-1,0.032934,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
0.99,4,p1_2,-1,0.054402,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
0.99,4,p2_3,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
0.99,5,p0_1,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
0.99,5,p0_3,-1,0.032934,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
0.99,5,p1_2,-1,0.054402,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
0.99,5,p2_3,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
1.01,2,p0_1,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
1.01,2,p0_3,-1,0.032934,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
1.01,2,p1_2,-1,0.054402,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
1.01,2,p2_3,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
1.01,3,p0_1,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
1.01,3,p0_3,-1,0.032934,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
1.01,3,p1_2,-1,0.054402,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
1.01,3,p2_3,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
1.01,4,p0_1,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
1.01,4,p0_3,-1,0.032934,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
1.01,4,p1_2,-1,0.054402,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
1.01,4,p2_3,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
1.01,5,p0_1,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
1.01,5,p0_3,-1,0.032934,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
1.01,5,p1_2,-1,0.054402,2,"p0_1,p2_3",materially_active,1.0,1.0,0.0,passes,passes
1.01,5,p2_3,-1,0.029394,2,"p0_3,p1_2",materially_active,1.0,1.0,0.0,passes,passes
