run_id,seed,parameter_profile,state,null_variant,profile_factor,baseline_anchor_status,combined_status_stability,auxiliary_compatibility,neighbor_shift_signal,a1_shift_signal,b1_shift_signal,gain_value,gain_vs_A,gain_vs_D,sign_stability,replicate_consistency,null_noise_margin,auxiliary_primary_takeover,role_flip,support_sep_baseline,support_sep_combined
H3SMD01_20260417_213250,303,base,A,,1.0,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_213250,303,base,B,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_213250,303,base,C,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_213250,303,base,D1,permutation_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_213250,303,base,D2,topology_preserving_random_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_213250,303,mild_plus,A,,1.05,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_213250,303,mild_plus,B,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.3875,0.3875,0.3975,1.0,1.0,0.02,False,False,0.18,0.5675
H3SMD01_20260417_213250,303,mild_plus,C,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.755,0.755,0.765,1.0,1.0,0.02,False,False,0.18,0.935
H3SMD01_20260417_213250,303,mild_plus,D1,permutation_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_213250,303,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_213250,303,mild_minus,A,,0.95,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_213250,303,mild_minus,B,,0.95,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.3525,0.3525,0.3625,1.0,1.0,0.02,False,False,0.18,0.5325
H3SMD01_20260417_213250,303,mild_minus,C,,0.95,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.685,0.685,0.695,1.0,1.0,0.02,False,False,0.18,0.865
H3SMD01_20260417_213250,303,mild_minus,D1,permutation_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_213250,303,mild_minus,D2,topology_preserving_random_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_213250,404,base,A,,1.0,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_213250,404,base,B,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_213250,404,base,C,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_213250,404,base,D1,permutation_null,1.0,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_213250,404,base,D2,topology_preserving_random_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.03,0.02
H3SMD01_20260417_213250,404,mild_plus,A,,1.05,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_213250,404,mild_plus,B,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.3875,0.3875,0.3975,1.0,1.0,0.02,False,False,0.18,0.5675
H3SMD01_20260417_213250,404,mild_plus,C,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.755,0.755,0.765,1.0,1.0,0.02,False,False,0.18,0.935
H3SMD01_20260417_213250,404,mild_plus,D1,permutation_null,1.05,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_213250,404,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.03,0.02
H3SMD01_20260417_213250,404,mild_minus,A,,0.95,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_213250,404,mild_minus,B,,0.95,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.3525,0.3525,0.3625,1.0,1.0,0.02,False,False,0.18,0.5325
H3SMD01_20260417_213250,404,mild_minus,C,,0.95,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.685,0.685,0.695,1.0,1.0,0.02,False,False,0.18,0.865
H3SMD01_20260417_213250,404,mild_minus,D1,permutation_null,0.95,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_213250,404,mild_minus,D2,topology_preserving_random_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.03,0.02
H3SMD01_20260417_213250,505,base,A,,1.0,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_213250,505,base,B,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.37,0.37,0.38,1.0,1.0,0.02,False,False,0.18,0.55
H3SMD01_20260417_213250,505,base,C,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.72,0.72,0.73,1.0,1.0,0.02,False,False,0.18,0.9
H3SMD01_20260417_213250,505,base,D1,permutation_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_213250,505,base,D2,topology_preserving_random_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_213250,505,mild_plus,A,,1.05,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_213250,505,mild_plus,B,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.3875,0.3875,0.3975,1.0,1.0,0.02,False,False,0.18,0.5675
H3SMD01_20260417_213250,505,mild_plus,C,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.755,0.755,0.765,1.0,1.0,0.02,False,False,0.18,0.935
H3SMD01_20260417_213250,505,mild_plus,D1,permutation_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_213250,505,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
H3SMD01_20260417_213250,505,mild_minus,A,,0.95,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.01,0.0,0.0,0.02,False,False,0.18,0.18
H3SMD01_20260417_213250,505,mild_minus,B,,0.95,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.3525,0.3525,0.3625,1.0,1.0,0.02,False,False,0.18,0.5325
H3SMD01_20260417_213250,505,mild_minus,C,,0.95,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.685,0.685,0.695,1.0,1.0,0.02,False,False,0.18,0.865
H3SMD01_20260417_213250,505,mild_minus,D1,permutation_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_213250,505,mild_minus,D2,topology_preserving_random_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.25,0.02,False,False,0.04,0.03
